username,student_name,email,contact,dob,student_id,reference_id,aadhar_token,marks
carolyne_1,Carolyne Watsica,carolyne_1@gmail.com,9999999999,1994-06-11,510_carolyne_1,ref_510_carolyne_1,6d8d36fd98e13b2a46c4af1e91f2aefc,206
wilhelmine_47,Wilhelmine Stehr,wilhelmine_47@gmail.com,9999999999,2000-11-27,905_wilhelmine_47,ref_905_wilhelmine_47,1f66d914bdccd016a9ddce3150e69968,18
jany_654,Jany Koepp,jany_654@gmail.com,9999999999,2002-12-04,678_jany_654,ref_678_jany_654,541152588336eb74ffe4acc62194ce27,286
kay_457,Kay Abbott,kay_457@gmail.com,9999999999,1997-03-18,184_kay_457,ref_184_kay_457,e21963150791c2d41e2f0d9e366ec704,63
ezekiel_72,Ezekiel Hyatt,ezekiel_72@gmail.com,9999999999,2004-03-04,31_ezekiel_72,ref_31_ezekiel_72,ff0976dcfdadee91348e41123d8c173d,183
hoyt_377,Hoyt Purdy,hoyt_377@gmail.com,9999999999,2004-02-10,913_hoyt_377,ref_913_hoyt_377,5c411b753277b00c12f797d9a7ffaac0,214
walker_489,Walker Friesen,walker_489@gmail.com,9999999999,1999-02-05,678_walker_489,ref_678_walker_489,aaced81ba693878f12465dc3eb59159f,148
emory_930,Emory Lehner,emory_930@gmail.com,9999999999,2004-11-26,224_emory_930,ref_224_emory_930,c62f1dd12f1facef387883912ff7f064,91
zelma_50,Zelma Effertz,zelma_50@gmail.com,9999999999,1991-03-19,222_zelma_50,ref_222_zelma_50,3f0f97b1a427e7f589d5bee6bb543396,211
germaine_449,Germaine Wolf,germaine_449@gmail.com,9999999999,1993-09-18,205_germaine_449,ref_205_germaine_449,363de77176735e41c29ffca2958374c9,123
