username,student_name,email,contact,student_id,reference_id,guardian_name,enrolled_on,aadhar_token,dob
carolyne_1,Carolyne Watsica,carolyne_1@gmail.com,9999999999,510_carolyne_1,ref_510_carolyne_1,Rozella Stehr,2021-12-11,6d8d36fd98e13b2a46c4af1e91f2aefc,1994-06-11
wilhelmine_47,Wilhelmine Stehr,wilhelmine_47@gmail.com,9999999999,905_wilhelmine_47,ref_905_wilhelmine_47,Flossie Hilpert,2022-02-19,1f66d914bdccd016a9ddce3150e69968,2000-11-27
jany_654,Jany Koepp,jany_654@gmail.com,9999999999,678_jany_654,ref_678_jany_654,Ellen Fritsch,2022-04-26,541152588336eb74ffe4acc62194ce27,2002-12-04
kay_457,Kay Abbott,kay_457@gmail.com,9999999999,184_kay_457,ref_184_kay_457,Kamille Marquardt,2022-08-12,e21963150791c2d41e2f0d9e366ec704,1997-03-18
ezekiel_72,Ezekiel Hyatt,ezekiel_72@gmail.com,9999999999,31_ezekiel_72,ref_31_ezekiel_72,Eladio Krajcik,2021-04-14,ff0976dcfdadee91348e41123d8c173d,2004-03-04
hoyt_377,Hoyt Purdy,hoyt_377@gmail.com,9999999999,913_hoyt_377,ref_913_hoyt_377,Kyla Bergnaum,2022-02-04,5c411b753277b00c12f797d9a7ffaac0,2004-02-10
walker_489,Walker Friesen,walker_489@gmail.com,9999999999,678_walker_489,ref_678_walker_489,Bessie McLaughlin,2020-12-14,aaced81ba693878f12465dc3eb59159f,1999-02-05
emory_930,Emory Lehner,emory_930@gmail.com,9999999999,224_emory_930,ref_224_emory_930,Stephen Hartmann,2021-04-07,c62f1dd12f1facef387883912ff7f064,2004-11-26
zelma_50,Zelma Effertz,zelma_50@gmail.com,9999999999,222_zelma_50,ref_222_zelma_50,Enos Dach,2020-09-20,3f0f97b1a427e7f589d5bee6bb543396,1991-03-19
germaine_449,Germaine Wolf,germaine_449@gmail.com,9999999999,205_germaine_449,ref_205_germaine_449,Gwen Schuppe,2021-02-14,363de77176735e41c29ffca2958374c9,1993-09-18
